NAME,REVENUE
Town of Smyrna,1040610.84
Town of Solon,1083597.68
Town of Somers,19850411
Town of Somerset,2742762
Town of South Bristol,2925734
Town of South Valley,328987.1
Town of Southampton,259462923
Town of Southeast,28926073
Town of Southold,73884944.22
Town of Southport,4785168
Town of Spafford,1921276.24
Town of Sparta,1223330
Town of Spencer,2068160
Town of Springfield,1085970.56
Town of Springport,2881770.86
Town of St. Armand,1708748.71
Town of St. Johnsville,786353.71
Town of Stafford,1888361
Town of Stanford,2550744
Town of Stark,1124543.79
Town of Starkey,1442673.91
Town of Stephentown,2204805.59
Town of Sterling,4036103
Town of Stillwater,9878780.14
Town of Stockbridge,1198915.16
Town of Stockholm,2457974.3
Town of Stockport,2331532
Town of Stockton,1346299
Town of Stony Creek,2144600.87
Town of Stony Point,26641541
Town of Stratford,1341342
Town of Stuyvesant,1327691
Town of Sullivan,8281771.9
Town of Summer Hill,1041173.02
Town of Summit,1192720.23
Town of Sweden,7278191
Town of Taghkanic,2093131
Town of Theresa,2407313.43
Town of Thompson,17788897
Town of Throop,1323307.82
Town of Thurman,1826025.27
Town of Thurston,937979.07
Town of Ticonderoga,12231865.66
Town of Tioga,2088974.12
Town of Tompkins,1614014.47
Town of Tonawanda,113773134
Town of Torrey,1029974
Town of Trenton,3396039.9
Town of Triangle,1506199.6
Town of Truxton,896712.67
Town of Tully,3375186.49
Town of Tupper Lake,3373008.36
Town of Turin,846566.7
Town of Tuscarora,1123412.24
Town of Tusten,2623214
Town of Tuxedo,12090584
Town of Tyre,3755298.66
Town of Tyrone,1717553.95
Town of Ulster,23922808
Town of Ulysses,4020600.81
Town of Unadilla,1492304.81
Town of Union,26996605
Town of Union Vale,3795855
Town of Van Buren,5117871.22
Town of Varick,1760878.25
Town of Vernon,3220209
Town of Verona,6484809.44
Town of Vestal,35196906.29
Town of Veteran,2029679.43
Town of Victor,14326777.93
Town of Victory,1259940
Town of Vienna,3445193.8
Town of Villenova,1159348
Town of Virgil,2597220.63
Town of Waddington,1607475.74
Town of Wales,1915262
Town of Walton,2110987.11
Town of Walworth,6776435
Town of Wappinger,19404063
Town of Ward,643764.56
Town of Warren,1155225
Town of Warrensburg,4430753.64
Town of Warsaw,2045672
Town of Warwick,27804720
Town of Washington,4460094.4
Town of Waterford,8056338
Town of Waterloo,3935432.46
Town of Watertown,5079332
Town of Watson,4030318.66
Town of Wawarsing,21219703
Town of Wawayanda,6563482.2
Town of Wayland,2327296
Town of Wayne,1231036
Town of Webb,9260952.7
Town of Webster,35048530
Town of Wells,2518807
Town of Wellsville,2823189.18
Town of West Almond,468657
Town of West Bloomfield,2007180.1
Town of West Monroe,2866524.55
Town of West Seneca,59972901
Town of West Sparta,1153891
Town of West Turin,1175206.77
Town of West Union,896215
Town of Westerlo,3404968.26
Town of Western,1674272.42
Town of Westfield,2699285.81
Town of Westford,833361.36
Town of Westmoreland,2984602.9
Town of Westport,2854877.44
Town of Westville,1103974
Town of Wethersfield,1399670
Town of Wheatfield,14251892.53
Town of Wheatland,3280058.6
Town of Wheeler,963675
Town of Whitehall,1423257.98
Town of Willet,698958.36
Town of Williamson,6028899
Town of Williamstown,1356009.88
Town of Willsboro,3261157.25
Town of Wilmington,2853013.58
Town of Wilna,3052836
Town of Wilson,5212242
Town of Wilton,19956695.65
Town of Windham,6368607
Town of Windsor,4635864.82
Town of Winfield,844065.77
Town of Wirt,1082290.59
Town of Wolcott,3640286
Town of Woodbury,13724085
Town of Woodstock,9773247.47
Town of Worcester,1613066
Town of Worth,642944.78
Town of Wright,981091.35
Town of Yates,2336315
Town of York,3835124
Town of Yorkshire,2216973.64
Town of Yorktown,223549428.8
Village of Adams,3178676
Village of Addison,1610971.25
Village of Afton,707797.57
Village of Airmont,4072737
Village of Akron,9125514
Village of Albion,7725622
Village of Alden,3264491
Village of Alexander,771478.91
Village of Alexandria Bay,2791735
Village of Alfred,2511348
Village of Allegany,2042812.1
Village of Altamont,2021343.3
Village of Ames,111305.1
Village of Amityville,17677367
Village of Andover,1093811.16
Village of Angelica,1393405
Village of Angola,2727469
Village of Antwerp,733554.9
Village of Arcade,14379165
Village of Ardsley,15296043
Village of Argyle,91001
Village of Arkport,740179.39
Village of Asharoken,2079117
Village of Athens,1976927.77
Village of Atlantic Beach,3767825
Village of Attica,3226565.9
Village of Aurora,747433.14
Village of Avoca,713266.14
Village of Avon,4153961.66
Village of Babylon,10651232
Village of Bainbridge,1174412
Village of Baldwinsville,6062375.04
Village of Ballston Spa,6949062
Village of Barker,402580
Village of Bath,15999961
Village of Baxter Estates,984265
Village of Bayville,7816723.66
Village of Belle Terre,1809344
Village of Bellerose,1631223
Village of Bellport,7766112
Village of Belmont,887292.85
Village of Bergen,3623045
Village of Black River,1434554
Village of Blasdell,2470848
Village of Bloomfield,1394500.41
Village of Bolivar,800321.63
Village of Boonville,7179565.15
Village of Brewster,4686458
Village of Briarcliff Manor,24393876
Village of Brightwaters,3405521
Village of Broadalbin,1150940.63
Village of Brockport,7765451.78
Village of Brocton,2485143
Village of Bronxville,16882344.07
Village of Brookville,5106267
Village of Brownville,1112259.06
Village of Brushton,56122.21
Village of Buchanan,11004207
Village of Burdett,484185.72
Village of Burke,68344.1
Village of Caledonia,2033636
Village of Cambridge,1449421.66
Village of Camden,1635915
Village of Camillus,1355043.47
Village of Canajoharie,3279761.82
Village of Canaseraga,1346631.62
Village of Canastota,4982193.73
Village of Candor,472095.33
Village of Canisteo,1939051.02
Village of Canton,6369690
Village of Cape Vincent,1755162
Village of Carthage,3196090.15
Village of Cassadaga,638068.04
Village of Castile,1856689.66
Village of Castleton-On-Hudson,2038860
Village of Castorland,196249.81
Village of Cato,380810.93
Village of Catskill,6818412
Village of Cattaraugus,1665335.01
Village of Cayuga,934334.9
Village of Cayuga Heights,6738793.86
Village of Cazenovia,3478426.31
Village of Celoron,915617.35
Village of Central Square,1732537
Village of Centre Island,2996773
Village of Champlain,1118054.48
Village of Chateaugay,717705.89
Village of Chatham,2352287
Village of Chaumont,1232785
Village of Cherry Valley,382823.74
Village of Chester,7584238
Village of Chestnut Ridge,3873843
Village of Chittenango,4271405.33
Village of Churchville,3872673
Village of Clayton,5220081
Village of Clayville,524056.5
Village of Cleveland,1081868.84
Village of Clifton Springs,2514183
Village of Clinton,2862237.52
Village of Clyde,2321866
Village of Cobleskill,6914514.18
Village of Cohocton,719844.55
Village of Cold Brook,36539
Village of Cold Spring,3563960
Village of Colonie,7245527
Village of Constableville,247923.05
Village of Cooperstown,5222265.86
Village of Copenhagen,873625.53
Village of Corfu,843449
Village of Corinth,6671104.98
Village of Cornwall-On-Hudson,9012172.24
Village of Cove Neck,1500637
Village of Coxsackie,4120057
Village of Croghan,342697.05
Village of Croton-On-Hudson,23765909
Village of Cuba,1654288
Village of Dannemora,1882629
Village of Dansville,6682533.18
Village of De Ruyter,349858.22
Village of Deferiet,615069
Village of Delanson,307840.6
Village of Delevan,551043.11
Village of Depew,16420464
Village of Deposit,3257340.89
Village of Dering Harbor,390224
Village of Dexter,1198721.1
Village of Dobbs Ferry,21548658
Village of Dresden,621396
Village of Dryden,2864074
Village of Dundee,4378515.03
Village of Earlville,608410
Village of East Aurora,10067217
Village of East Hampton,27274251
Village of East Hills,11947255
Village of East Nassau,146021.36
Village of East Rochester,9858864
Village of East Rockaway,11834659
Village of East Syracuse,4034838
Village of East Williston,3846066
Village of Elba,480012
Village of Elbridge,1148363.54
Village of Ellicottville,1908084
Village of Ellisburg,126837
Village of Elmira Heights,3826993
Village of Endicott,30178867.89
Village of Esperance,260230.04
Village of Evans Mills,697486
Village of Fabius,66457.29
Village of Fair Haven,1696174.25
Village of Fairport,32776864.5
Village of Falconer,1758237.53
Village of Farmingdale,8760433.78
Village of Farnham,475494.22
Village of Fayetteville,7663159
Village of Fishkill,4819827
Village of Fleischmanns,1511127.87
Village of Floral Park,29553329
Village of Florida,4194630.74
Village of Flower Hill,3389047
Village of Fonda,1015531
Village of Fort Ann,284342
Village of Fort Edward,2611811.85
Village of Fort Plain,4054595
Village of Frankfort,5469808.34
Village of Franklin,181107.57
Village of Franklinville,1450500.74
Village of Fredonia,13717275
Village of Freeport,115490401
Village of Freeville,413082.37
Village of Fultonville,1241606
Village of Gainesville,365780.21
Village of Galway,61039.11
Village of Garden City,76691655.63
Village of Geneseo,6213431.36
Village of Glen Park,763876.12
Village of Goshen,13433981.59
Village of Gouverneur,4614096.55
Village of Gowanda,3797917
Village of Grand View-On-Hudson,1589330
Village of Granville,2882018
Village of Great Neck Estates,9710403
Village of Great Neck Plaza,5276238
Village of Green Island,5943024
Village of Greene,4223012.01
Village of Greenport,11924445
Village of Greenwich,2371939.49
Village of Greenwood Lake,4870582
Village of Groton,4052761.75
Village of Hagaman,898486
Village of Hamburg,14337496
Village of Hamilton,12683413
Village of Hammond,428423
Village of Hammondsport,959235.34
Village of Hancock,1865842.68
Village of Hannibal,112880
Village of Harriman,4751667
Village of Harrison,167269231
Village of Hastings-On-Hudson,17692500
Village of Haverstraw,11442780
Village of Head Of The Harbor,2220826
Village of Hempstead,91988922
Village of Herkimer,9349235.14
Village of Heuvelton,1362829
Village of Hewlett Bay Park,445348
Village of Hewlett Harbor,3635998
Village of Hewlett Neck,348563
Village of Highland Falls,9510323.78
Village of Hillburn,2390122
Village of Hilton,4110870.08
Village of Hobart,987063
Village of Holland Patent,372470.89
Village of Holley,6524286.65
Village of Homer,4685389.94
Village of Honeoye Falls,3125484
Village of Hoosick Falls,4105388.67
Village of Horseheads,5809768
Village of Hudson Falls,6865193
Village of Huntington Bay,2213608
Village of Ilion,13126562.93
Village of Interlaken,1203557.8
Village of Irvington,23834019
Village of Island Park,6591288
Village of Islandia,4388200
Village of Jeffersonville,503453
Village of Johnson City,29451718.15
Village of Jordan,1347337.76
Village of Kaser,3769117
Village of Kenmore,20347082
Village of Kensington,3872776
Village of Kinderhook,1082270.23
Village of Kings Point,17053772
Village of Kiryas Joel,20708112
Village of Lacona,439355.72
Village of Lake George,16116365.13
Village of Lake Grove,5599902
Village of Lake Placid,20073110
Village of Lake Success,19678861
Village of Lakewood,3818848.5
Village of Lancaster,11565331
Village of Lansing,4039406.57
Village of Larchmont,24609717
Village of Lattingtown,1681333
Village of Laurel Hollow,4129624
Village of Laurens,117959.04
Village of Lawrence,9233079
Village of Le Roy,4524640
Village of Leicester,492766.53
Village of Lewiston,4931351
Village of Liberty,7609706.59
Village of Lima,3791312
Village of Lindenhurst,16606657
Village of Little Valley,3487262.36
Village of Liverpool,3019696.63
Village of Livonia,1977896.74
Village of Lloyd Harbor,7951602
Village of Lodi,86330
Village of Lowville,6911227.04
Village of Lynbrook,41173078.21
Village of Lyndonville,1225152
Village of Lyons Falls,630604.26
Village of Madison,525385
Village of Malone,7586822.98
Village of Malverne,17906599
Village of Mamaroneck,40933617
Village of Manchester,1501300.95
Village of Manlius,7131050.8
Village of Mannsville,232595.55
Village of Manorhaven,4506262
Village of Marathon,2401748
Village of Marcellus,2196554.56
Village of Margaretville,743159
Village of Massapequa Park,7231200
Village of Massena,16282044
Village of Matinecock,2045384.27
Village of Maybrook,3804318
Village of Mayfield,780114
Village of Mayville,4618979
Village of McGraw,874292
Village of Medina,8843956
Village of Menands,6233272
Village of Meridian,109220.14
Village of Mexico,1934590.6
Village of Middleburgh,1248733.11
Village of Middleport,1784325.39
Village of Middleville,434121
Village of Milford,438108.8
Village of Mill Neck,3133332
Village of Millbrook,3442384
Village of Millerton,1101384
Village of Millport,216442
Village of Mineola,26478355
Village of Minoa,4352599.47
Village of Mohawk,6235360
Village of Monroe,12725107.77
Village of Montebello,2750389
Village of Montgomery,4937601
Village of Montour Falls,2655240
Village of Moravia,1430436
Village of Morris,334877.98
Village of Morrisville,835722.83
Village of Mount Morris,3206437
Village of Munnsville,201221.14
Village of Munsey Park,1882795
Village of Muttontown,5209441
Village of Naples,4764163.75
Village of Nassau,977021.59
Village of Nelliston,508133
Village of Nelsonville,403267.04
Village of New Berlin,1507802.93
Village of New Hartford,2032480.11
Village of New Hempstead,2108792
Village of New Hyde Park,6838444
Village of New Paltz,6450136
Village of New Square,3102445
Village of New York Mills,2538761.54
Village of Newark,12180176.46
Village of Newark Valley,950136.95
Village of Newport,312921
Village of Nichols,118926.26
Village of Nissequogue,2240092
Village of North Collins,1261118.11
Village of North Haven,2096432
Village of North Hills,1959532
Village of North Hornell,633718
Village of North Syracuse,6357195
Village of Northport,18105682
Village of Northville,2013513
Village of Nunda,1256766.87
Village of Nyack,9213061
Village of Oakfield,2775383
Village of Ocean Beach,9483595
Village of Odessa,1042275.45
Village of Old Brookville,4787696
Village of Old Field,839614
Village of Old Westbury,17420439.43
Village of Oneida Castle,161184.37
Village of Orchard Park,2544703
Village of Oriskany,1077838
Village of Oriskany Falls,743283
Village of Ossining,60910643
Village of Otego,495424
Village of Otisville,1790373.32
Village of Ovid,796326
Village of Oxford,1784199
Village of Oyster Bay Cove,6141932
Village of Painted Post,2191880.85
Village of Palatine Bridge,657766
Village of Palmyra,4396471.14
Village of Panama,110900
Village of Parish,338576.68
Village of Patchogue,16524148
Village of Pawling,3908108
Village of Pelham,15879288
Village of Pelham Manor,17663860
Village of Penn Yan,14359248
Village of Perry,4815746.93
Village of Phelps,2256073.38
Village of Philadelphia,2435167
Village of Philmont,1545009
Village of Phoenix,2397852
Village of Piermont,6481071
Village of Pittsford,1888047
Village of Plandome,3991771
Village of Plandome Heights,488968
Village of Plandome Manor,1615033
Village of Pleasantville,21396141
Village of Poland,182198
Village of Poquott,591586
Village of Port Byron,1306550.48
Village of Port Chester,49212498
Village of Port Dickinson,1741146.21
Village of Port Jefferson,13111802
Village of Port Leyden,712722.46
Village of Port Washington North,1999027
Village of Portville,1006344.49
Village of Potsdam,10561091
Village of Quogue,9147902.4
Village of Ravena,4048990.13
Village of Red Creek,527344
Village of Red Hook,2593741.71
Village of Remsen,447257.04
Village of Rensselaer Falls,198615
Village of Rhinebeck,4615916
Village of Richfield Springs,1566463.52
Village of Richmondville,2384240
Village of Richville,62338
Village of Rockville Centre,83702023
Village of Roslyn,5021020
Village of Roslyn Estates,1644778
Village of Roslyn Harbor,1583897
Village of Round Lake,2576607
Village of Rouses Point,4590577.69
Village of Rushville,1919025
Village of Russell Gardens,1751700
Village of Rye Brook,23188049
Village of Sackets Harbor,2585833
Village of Saddle Rock,1378347
Village of Sag Harbor,13972531
Village of Sagaponack,1515699
Village of Saltaire,4139769
Village of Sands Point,23540734
Village of Sandy Creek,599136.1
Village of Saranac Lake,11151282
Village of Saugerties,4354395
Village of Scarsdale,68886414
Village of Schaghticoke,1757370.01
Village of Schoharie,1306189.1
Village of Schuylerville,1943122.01
Village of Scotia,10689718.16
Village of Scottsville,1657471
Village of Sea Cliff,12957548
Village of Sharon Springs,3508935.1
Village of Sherburne,6073792
Village of Sherman,1424130.25
Village of Shoreham,914404
Village of Shortsville,1396270.59
Village of Sidney,4363118.8
Village of Silver Creek,3543901
Village of Silver Springs,1078521.61
Village of Sinclairville,522951
Village of Skaneateles,6435518
Village of Sleepy Hollow,24905372.83
Village of Sloan,1992531
Village of Sloatsburg,3833676
Village of Smyrna,196154.94
Village of Sodus,1832001.2
Village of Sodus Point,4497569.25
Village of Solvay,32698818
Village of South Blooming Grove,3253242
Village of South Corning,3360255.66
Village of South Dayton,842066.26
Village of South Floral Park,742069
Village of South Glens Falls,4025842.86
Village of South Nyack,3819130
Village of Southampton,36543541
Village of Speculator,3094391.38
Village of Spencer,412875.67
Village of Spencerport,6625554.78
Village of Springville,9934572
Village of St. Johnsville,1860607
Village of Stamford,1776009
Village of Stewart Manor,2322396.63
Village of Stillwater,1500974.33
Village of Suffern,21464662.21
Village of Sylvan Beach,2169436
Village of Tannersville,1190265
Village of Tarrytown,34622328
Village of Theresa,1461593
Village of Thomaston,2056607
Village of Tivoli,3389265.26
Village of Trumansburg,3980618.11
Village of Tuckahoe,13446224
Village of Tully,1082208.94
Village of Tupper Lake,9218482
Village of Turin,163530.56
Village of Tuxedo Park,5275552
Village of Unadilla,908797
Village of Union Springs,1378365.04
Village of Unionville,496842
Village of Upper Brookville,3621394
Village of Upper Nyack,2853518
Village of Valatie,1909982.75
Village of Valley Falls,300655
Village of Valley Stream,43238647
Village of Vernon,1879924.6
Village of Victor,3489876.16
Village of Village of The Branch,1253633
Village of Voorheesville,2974540
Village of Waddington,1298607.06
Village of Walden,12316586.19
Village of Walton,6136127
Village of Wampsville,238159.41
Village of Wappingers Falls,8861679
Village of Warsaw,4294795.53
Village of Warwick,8506125
Village of Waterford,7031668.54
Village of Waterloo,7147626
Village of Waterville,2108971
Village of Watkins Glen,12743426
Village of Waverly,7264458
Village of Wayland,2356310.17
Village of Webster,3897450
Village of Weedsport,1872687.86
Village of Wellsburg,639255.08
Village of Wellsville,10091661
Village of Wesley Hills,2289251
Village of West Hampton Dunes,2081771.71
Village of West Haverstraw,8196247
Village of West Winfield,695900.96
Village of Westbury,10902363
Village of Westfield,10195825
Village of Westhampton Beach,12528835
Village of Whitehall,3878381.97
Village of Whitesboro,3247506.56
Village of Whitney Point,1517550.76
Village of Williamsville,6630247
Village of Williston Park,9959041
Village of Wilson,1255483
Village of Windsor,733444.55
Village of Wolcott,1636717.57
Village of Woodbury,10260727.2
Village of Woodridge,3687480
Village of Woodsburgh,714573
Village of Wurtsboro,766055
Village of Wyoming,239083
Village of Yorkville,2166245
Village of Youngstown,1944490.88